# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52719.23755145060  0.00882523148  1.26198e+01  8.19426e+00  0.01301
52719.45939172838  0.00919560185  -1.64838e+01  5.67680e+00  0.02333
52719.48155608023  0.00919560185  -1.22783e+01  5.50149e+00  0.02883
52719.50461742283  0.01008101852  4.46368e+00  5.12742e+00  0.02597
52719.56998200616  0.00919560185  1.43065e+00  4.79782e+00  0.03446
52719.59219265431  0.00919560185  4.43959e+00  3.98581e+00  0.04755
52719.61533501542  0.01011574074  1.60448e+00  3.80232e+00  0.04694
52719.63647506171  0.00920717593  2.20556e+00  4.68958e+00  0.03782
52719.81360469134  0.00914930556  2.45121e+00  5.36706e+00  0.02750
52719.83576904319  0.00914930556  -1.37075e+01  4.40169e+00  0.04436
52719.85883038579  0.01003472222  1.47846e+00  3.69878e+00  0.04900
52719.88017876542  0.00934606481  7.39172e+00  4.16214e+00  0.04303
52719.90329219135  0.01012152778  1.25911e+01  6.54807e+00  0.01780
52719.92403293208  0.00911458333  1.73404e+00  4.92796e+00  0.03447
52719.94734311727  0.01008680556  4.53916e+00  3.34598e+00  0.06226
52719.96943802467  0.01008680556  1.74940e+00  3.02415e+00  0.07536
52719.99161395060  0.01008680556  5.34139e+00  2.89007e+00  0.07442
52720.01376094134  0.01005787037  -1.36025e+01  1.22287e+01  0.00543
52720.03615677467  0.01010416667  1.96038e+00  5.25177e+00  0.03135
52720.14685700616  0.01012152778  4.60770e+00  3.91031e+00  0.04181
52720.16880723764  0.01005787037  -7.15760e-01  2.95449e+00  0.07554
52720.21247043208  0.00917245370  -5.81108e-02  2.63292e+00  0.10819
52720.23470422838  0.00921875000  6.15511e+00  2.92231e+00  0.09624
52720.25690908949  0.00922453704  4.43072e+00  3.34371e+00  0.06981
52720.27913709875  0.00921875000  -5.18385e+00  4.78599e+00  0.03642
52720.30097737653  0.00928819444  -6.22831e-01  3.64661e+00  0.05871
52720.32411973764  0.01008101852  1.10291e+00  2.75336e+00  0.08703
52720.34525978394  0.00914930556  6.04397e-01  2.54788e+00  0.10232
52720.36858733023  0.01013888889  3.39589e+00  2.37213e+00  0.10910
52720.39084427468  0.01032407407  3.27232e+00  2.54847e+00  0.09253
52720.41293339505  0.01007523148  -4.34064e-01  3.33531e+00  0.06155
52720.52463478393  0.01505208333  4.76977e-01  2.70287e+00  0.05883
52720.55074589505  0.00920717593  -2.07453e+00  2.75534e+00  0.08637
52720.57310700616  0.00921875000  5.69602e+00  2.31720e+00  0.12880
52720.59620307097  0.01011574074  5.72891e-01  1.98917e+00  0.14253
52720.61838478393  0.01024884259  3.13377e+00  2.14264e+00  0.14027
52720.63970422838  0.00921875000  -2.25528e-01  2.47694e+00  0.11693
52720.66196117282  0.00924189815  -2.73927e+00  3.06526e+00  0.07303
52720.68480839505  0.01005208333  9.33513e-01  2.81072e+00  0.08187
52720.70671233023  0.01002314815  3.08284e+00  2.25798e+00  0.12751
52720.72910237653  0.01008680556  -9.30797e-02  2.00604e+00  0.15779
